"Name","Location","Symbol Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"EXT_FUN_03005780","External[03005780]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_0300579c","External[0300579c]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030057a8","External[030057a8]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030057bc","External[030057bc]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030057d4","External[030057d4]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005800","External[03005800]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_0300581c","External[0300581c]","External Function","uint","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005828","External[03005828]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_0300583c","External[0300583c]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005854","External[03005854]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005864","External[03005864]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005880","External[03005880]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_0300588c","External[0300588c]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030058b8","External[030058b8]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030058c8","External[030058c8]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_030058f8","External[030058f8]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005918","External[03005918]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005e60","External[03005e60]","External Function","undefined","<EXTERNAL>","Default","1","0"
"EXT_FUN_03005ff0","External[03005ff0]","External Function","void","<EXTERNAL>","Default","1","0"
"Reset","00000000","Label","","Global","Imported","1","0"
"UndefinedInstruction","00000004","Label","","Global","Imported","5","0"
"SupervisorCall","00000008","Label","","Global","Imported","5","0"
"PrefetchAbort","0000000c","Label","","Global","Imported","3","0"
"DataAbort","00000010","Label","","Global","Imported","3","0"
"NotUsed","00000014","Label","","Global","Imported","2","0"
"IRQ","00000018","Label","","Global","Imported","2","0"
"FIQ","0000001c","Label","","Global","Imported","1","0"
"3ZCM","02000000","Data Label","char[4]","Global","User Defined","13","0"
"gameLanguage","02000007","Data Label","byte","Global","User Defined","44","0"
"link","02000008","Data Label","char[4]","Global","User Defined","0","0"
"functionIndex","02000086","Data Label","undefined1","Global","User Defined","212","0"
"someIndex","020000aa","Data Label","undefined1","Global","User Defined","6","0"
"pLinkObj","020000b0","Data Label","Entity *","Global","User Defined","156","0"
"windcrests","02002a80","Data Label","undefined4","Global","User Defined","28","0"
"filename","02002ac0","Data Label","char[5]","Global","User Defined","8","2"
"miscVariable3","02002aca","Data Label","undefined1","Global","User Defined","1","0"
"miscVariable2","02002acb","Data Label","undefined1","Global","User Defined","1","0"
"miscVariable","02002ad0","Data Label","undefined1","Global","User Defined","1","0"
"walletType","02002ae8","Data Label","byte","Global","User Defined","9","0"
"numHeartPieces","02002ae9","Data Label","undefined1","Global","User Defined","6","0"
"health","02002aea","Data Label","undefined1","Global","User Defined","22","0"
"maxHealth","02002aeb","Data Label","undefined1","Global","User Defined","14","0"
"playWeirdSound2","02002af2","Data Label","byte","Global","User Defined","8","0"
"playWeirdSound","02002af3","Data Label","byte","Global","User Defined","6","0"
"itemOnA","02002af4","Data Label","itemEnum","Global","User Defined","19","0"
"itemOnB","02002af5","Data Label","itemEnum","Global","User Defined","18","0"
"rupeeCount","02002b00","Data Label","ushort","Global","User Defined","14","0"
"inventory","02002b32","Data Label","inventory","Global","User Defined","6","0"
"inventoryFlags1","02002b33","Data Label","byte:1","Global","User Defined","0","1"
"bookFlags","02002b40","Data Label","byte:1","Global","User Defined","0","1"
"miscItemFlags","02002b41","Data Label","byte:1","Global","User Defined","0","1"
"elementFlags","02002b42","Data Label","byte:1","Global","User Defined","0","1"
"accessoryFlags","02002b43","Data Label","byte:1","Global","User Defined","0","1"
"scrollFlags","02002b44","Data Label","byte:1","Global","User Defined","0","1"
"scrollFlags2","02002b45","Data Label","byte:1","Global","User Defined","0","1"
"progressFlags","02002c9c","Data Label","undefined","Global","User Defined","8","0"
"DungeonOneEquipment","02002ead","Data Label","undefined","Global","User Defined","0","0"
"bg1TileMapping","02002f00","Data Label","undefined","Global","User Defined","47","0"
"SetToTwoOrZero","0200af02","Data Label","undefined1","Global","User Defined","5","0"
"rupeeCounter","0200af0e","Data Label","undefined2","Global","User Defined","6","0"
"flags","0200b644","Data Label","undefined4","Global","User Defined","51","0"
"bgLayer1","0200b650","Data Label","undefined4","Global","User Defined","52","0"
"bg1LayerData","0200b654","Data Label","undefined2","Global","User Defined","25","0"
"bg1TilesetTileTypeData","02010654","Data Label","undefined2","Global","User Defined","11","0"
"bg1Tileset","02012654","Data Label","undefined","Global","User Defined","2","0"
"paletteCopy","020176a0","Data Label","undefined","Global","User Defined","19","0"
"dmadestination","02018ee0","Data Label","undefined4","Global","User Defined","13","1"
"bg2TileMapping","02019ee0","Data Label","undefined1","Global","User Defined","112","0"
"tileData","02021f30","Data Label","undefined","Global","User Defined","29","0"
"someIndex","02022743","Data Label","undefined1","Global","User Defined","9","0"
"stringBuffer","020227de","Data Label","char[5]","Global","User Defined","3","3"
"unknown","02024048","Data Label","undefined1","Global","User Defined","9","0"
"bgLayer2","02025eb0","Data Label","undefined4","Global","User Defined","38","0"
"bg2LayerData","02025eb4","Data Label","undefined2","Global","User Defined","24","0"
"bg2CollisionLayerData","02027eb4","Data Label","undefined1","Global","User Defined","49","0"
"bg2TilesetTileTypeData","0202aeb4","Data Label","undefined2","Global","User Defined","13","0"
"bg2Tileset","0202ceb4","Data Label","undefined","Global","User Defined","2","0"
"playerPosition","02033a90","Data Label","undefined1","Global","User Defined","204","0"
"index","02033abb","Data Label","undefined1","Global","User Defined","9","0"
"musicIndex","020342f0","Data Label","undefined4","Global","User Defined","35","0"
"pMusicIndex","020342f4","Data Label","undefined4","Global","User Defined","51","0"
"ObjectArray","02034318","Data Label","playerStruct *[3]","Global","User Defined","6","2"
"dmaDestAddr","02034cf2","","undefined4","Global","User Defined","3","1"
"spritesOffset","03000002","Data Label","undefined1","Global","User Defined","13","0"
"OAMSource","03000020","Data Label","undefined2","Global","User Defined","6","0"
"objAffineDestination","03000026","Data Label","undefined","Global","User Defined","1","0"
"objAffineDataField","03000420","Data Label","undefined","Global","User Defined","9","0"
"roomMusicIndex","03000bf4","Data Label","byte","Global","User Defined","47","0"
"roomOriginX","03000bf6","Data Label","undefined2","Global","User Defined","549","0"
"roomOriginY","03000bf8","Data Label","undefined2","Global","User Defined","570","0"
"screenShakeTime","03000c06","Data Label","ushort","Global","User Defined","4","0"
"time","03000c1a","Data Label","undefined2","Global","User Defined","11","0"
"cameraTarget","03000c20","Data Label","playerStruct *","Global","User Defined","90","0"
"lcdControl2","03000f50","Data Label","undefined2","Global","User Defined","532","0"
"lcdControl1","03000f56","Data Label","undefined2","Global","User Defined","3","0"
"bg0Control","03000f58","Data Label","undefined2","Global","User Defined","10","0"
"bg0xOffset","03000f5a","Data Label","undefined2","Global","User Defined","4","0"
"bg0yOffset","03000f5c","Data Label","undefined2","Global","User Defined","6","0"
"bg1Control","03000f64","Data Label","undefined2","Global","User Defined","27","0"
"bg1xOffset","03000f66","Data Label","undefined2","Global","User Defined","19","0"
"bg1yOffset","03000f68","Data Label","undefined2","Global","User Defined","32","0"
"bg2Control","03000f70","Data Label","undefined2","Global","User Defined","19","0"
"bg2cOffset","03000f72","Data Label","undefined2","Global","User Defined","4","0"
"bg2yOffset","03000f74","Data Label","undefined2","Global","User Defined","7","0"
"bg3Control","03000f7c","Data Label","undefined2","Global","User Defined","30","0"
"bg3xOffset","03000f7e","Data Label","undefined2","Global","User Defined","35","0"
"bg3yOffset","03000f80","Data Label","undefined2","Global","User Defined","33","0"
"bg2dx","03000f88","Data Label","undefined2","Global","User Defined","4","0"
"bg2dmx","03000f8a","Data Label","undefined2","Global","User Defined","2","0"
"bg2dy","03000f8c","Data Label","undefined2","Global","User Defined","2","0"
"bg2dmy","03000f8e","Data Label","undefined2","Global","User Defined","2","0"
"bg2xPointLeastSig","03000f90","Data Label","undefined2","Global","User Defined","2","0"
"bg2xPointMostSig","03000f92","Data Label","undefined2","Global","User Defined","2","0"
"bg2yPointLeastSig","03000f94","Data Label","undefined2","Global","User Defined","2","0"
"bg2yPointMostSig","03000f96","Data Label","undefined2","Global","User Defined","3","0"
"bg3dx","03000f98","Data Label","undefined2","Global","User Defined","1","0"
"bg3dmx","03000f9a","Data Label","undefined2","Global","User Defined","1","0"
"bg3dy","03000f9c","Data Label","undefined2","Global","User Defined","1","0"
"bg3dmy","03000f9e","Data Label","undefined2","Global","User Defined","1","0"
"bg3xPointLeastSig","03000fa0","Data Label","undefined2","Global","User Defined","1","0"
"bg3xPointMostSig","03000fa2","Data Label","undefined2","Global","User Defined","1","0"
"bg3yPointLeastSig","03000fa4","Data Label","undefined2","Global","User Defined","1","0"
"bg3yPointMostSig","03000fa6","Data Label","undefined2","Global","User Defined","1","0"
"window0HorizontalDimensions","03000fa8","Data Label","undefined2","Global","User Defined","17","0"
"window1HorizontalDimensions","03000faa","Data Label","undefined2","Global","User Defined","8","0"
"window0VerticalDimensions","03000fac","Data Label","undefined2","Global","User Defined","14","0"
"window1VerticalDimensions","03000fae","Data Label","undefined2","Global","User Defined","11","0"
"windowInsideControl","03000fb0","Data Label","undefined2","Global","User Defined","14","0"
"windowOutside+OBJWindowControl","03000fb2","Data Label","undefined2","Global","User Defined","21","0"
"mosaicSize","03000fb4","Data Label","undefined2","Global","User Defined","2","0"
"layerFXControl","03000fb6","Data Label","undefined2","Global","User Defined","59","0"
"alphaBlend","03000fb8","Data Label","undefined2","Global","User Defined","89","0"
"layerBrightness","03000fba","Data Label","undefined2","Global","User Defined","10","0"
"keyInput","03000ff0","Data Label","undefined2","Global","User Defined","65","0"
"InterruptFlag","03001000","Data Label","undefined1","Global","User Defined","78","0"
"functionIndex","03001002","Data Label","undefined1","Global","User Defined","2","0"
"gameTicks","0300100c","Data Label","undefined2","Global","User Defined","13","0"
"rupees","030010a6","Data Label","undefined2","Global","User Defined","5","0"
"enum","030010af","Data Label","undefined1","Global","User Defined","17","0"
"somexPos","030010e0","Data Label","undefined2","Global","User Defined","2","0"
"someyPos","030010e2","Data Label","undefined2","Global","User Defined","2","0"
"var","03001150","Data Label","undefined4","Global","User Defined","5","0"
"linkObj","03001160","Data Label","Entity","Global","User Defined","1378","55"
"LinkState","0300116c","Data Label","actionEnum","Global","User Defined","52","55"
"health2","030011a5","Data Label","byte","Global","User Defined","13","55"
"heldObject","030011d4","Data Label","Entity *","Global","User Defined","10","55"
"LiveItemEntities","030011e8","Data Label","Entity[7]","Global","User Defined","7","6"
"liveEntities","030015a0","Data Label","Entity[72]","Global","User Defined","3","2"
"selfPointer","03003c70","Data Label","undefined4","Global","User Defined","22","0"
"hasTodoWithDMA","03003dbc","Data Label","byte *","Global","User Defined","43","7"
"heldObject","03003f81","Data Label","undefined1","Global","User Defined","9","0"
